year,month,quote
2016,December,"Premier tome de la Revue des deux Mondes, août 1829.Créée en 1829, la Revue des deux Mondes (reproduction) est réputée pour être la plus vieille revue européenne encore en activité.
présente en page d'accueil du 30 décembre 2016 à 00:02:26 au "
2016,December,"En Suède, les règles d’usage du tutoiement et du vouvoiement fluctuent depuis le début du XXe siècle.
présente en page d'accueil du 30 décembre 2016 à 00:02:26 au "
2016,December,"Une Citroën 2 CV au Mondial de l’automobile de Paris 2014.En Allemagne, la Citroën 2 CV (photo) est surnommée die Ente (« le canard »), en référence au Vilain Petit Canard d’Andersen.
présente 3 jours en page d'accueil du 31 décembre 2016 à 00:02:14 au 03 janvier 2017 à 00:02:13"
2016,December,"En décembre 1916, ayant découvert que la densité de la naine blanche 40 Eridani B était supérieure à 25 000 fois celle du Soleil, Ernst Öpik déclara ce résultat « impossible ».
présente 3 jours en page d'accueil du 31 décembre 2016 à 00:02:14 au 03 janvier 2017 à 00:02:13"
2017,January,"Pays ayant signé (en jaune) et ceux ayant signé et ratifié (en vert) le traité sur la Lune.Aucun État ayant un programme autonome de vol spatial habité actif ou en développement n’a ratifié (carte) le traité sur la Lune.
présente 3 jours en page d'accueil du 01 janvier 2017 à 00:01:55 au 04 janvier 2017 à 00:01:13"
2017,January,"Le 1er janvier 1977, la Belgique a divisé par près de 4 le nombre de ses communes, le faisant passer de 2 359 à 596.
présente 3 jours en page d'accueil du 01 janvier 2017 à 00:01:55 au 04 janvier 2017 à 00:01:13"
2017,January,"Extrait sur la pomme de terre de l’Atlas des plantes de France.Le fruit de la pomme de terre (dessin) est toxique.
présente 3 jours en page d'accueil du 02 janvier 2017 à 00:02:08 au 05 janvier 2017 à 00:02:29"
2017,January,"Une loi adoptée sous le Consulat a autorisé les Marat, Lepelletier, Robespierre, Paix, Constitution et Brutus, à changer de prénom.
présente 3 jours en page d'accueil du 02 janvier 2017 à 00:02:08 au 05 janvier 2017 à 00:02:29"
2017,January,"Village de Júzcar.Depuis le passage des Schtroumpfs, les maisons de Júzcar en Espagne sont bleues (photo).
présente 3 jours en page d'accueil du 03 janvier 2017 à 00:02:13 au 06 janvier 2017 à 00:01:59"
2017,January,"Le Paléolithique recouvre environ 95 % de la période d’existence de notre espèce, depuis son apparition jusqu’à nos jours.
présente 3 jours en page d'accueil du 03 janvier 2017 à 00:02:13 au 06 janvier 2017 à 00:01:59"
2017,January,"n/a<!- légende à ajouter ? ->.Jusqu’au XVIIIe siècle, le Saint-Gothard (tableau) était considéré comme la plus haute montagne des Alpes.
présente 3 jours en page d'accueil du 04 janvier 2017 à 00:01:13 au 07 janvier 2017 à 00:02:12"
2017,January,"Persuadés de la victoire à venir de Thomas Dewey, les instituts de sondages américains ont arrêté leur activité concernant l’élection présidentielle de 1948 plus d’une semaine avant le vote, qui a vu la victoire de Harry S. Truman.
présente 3 jours en page d'accueil du 04 janvier 2017 à 00:01:13 au 07 janvier 2017 à 00:02:12"
2017,January,"Pedro Lascuráin.La présidence de Pedro Lascuráin Paredes (photo) a duré moins d’une heure.
présente 3 jours en page d'accueil du 05 janvier 2017 à 00:02:29 au 08 janvier 2017 à 00:01:44"
2017,January,"La Biélorussie est le dernier pays d’Europe à pratiquer la peine de mort.
présente 3 jours en page d'accueil du 05 janvier 2017 à 00:02:29 au 08 janvier 2017 à 00:01:44"
2017,January,"n/a légende à ajouter ? .Pour l’UNESCO, un livre (photo) compte au moins 49 pages hors couverture.
présente 3 jours en page d'accueil du 06 janvier 2017 à 00:01:59 au 09 janvier 2017 à 00:02:10"
2017,January,"Selon une tradition révolutionnaire reprise pendant le septennat de Valéry Giscard d’Estaing, la galette des Rois offerte chaque année au président de la République française ne cache aucune fève.
présente 3 jours en page d'accueil du 06 janvier 2017 à 00:01:59 au 09 janvier 2017 à 00:02:10"
2017,January,"Cymothoe sangaris.L’opération Sangaris, intervention française en République centrafricaine, porte le nom d’un papillon africain (photo).
présente 3 jours en page d'accueil du 07 janvier 2017 à 00:02:12 au 10 janvier 2017 à 00:01:47"
2017,January,"Jean-Jacques Goldman avait d’abord écrit la chanson L’Envie pour Michel Sardou, plusieurs années avant de la proposer à Johnny Hallyday.
présente 3 jours en page d'accueil du 07 janvier 2017 à 00:02:12 au 10 janvier 2017 à 00:01:47"
2017,January,"Un trombone rouge.En 2005-2006, Kyle MacDonald est parvenu à obtenir une maison par une série de trocs à partir d’un trombone rouge (photo).
présente 4 jours en page d'accueil du 08 janvier 2017 à 00:01:44 au 12 janvier 2017 à 00:02:08"
